a.s,s.s->a.f,c.f->a.s
1,16.7950718873,7.34048019762
0,13.6897825879,3.97844109548
1,19.0486883767,9.71893939854
1,17.7220213268,9.7916812117
1,24.3012407182,12.6487822679
1,25.0328582145,14.8852421401
0,8.66066825508,0.138538296933
0,13.6014529813,4.9527800574
0,8.53340519741,2.44504600212
0,14.4357151549,5.81830439177
1,16.5546130028,6.9788250647
1,22.4874732564,14.2725471571
0,15.544826626,5.88911559994
0,10.6425497284,1.27363002918
1,21.0608573931,10.1112681805
1,21.557806781,12.3639478914
1,25.5543163901,13.8790781614
0,12.7523081312,1.10322357458
0,11.5788122275,2.92582323923
0,16.6315775299,6.33777991721
0,11.3060161001,2.37613781
0,15.8019311797,8.67354563571
1,19.8579866097,10.2473900792
1,24.6999896582,14.7586971724
1,19.8962039584,11.2446383942
1,20.39250493,12.7021194447
1,26.0017969406,14.996138966
0,9.23360712661,1.94946485149
0,8.44726109905,0.97833972154
1,19.5370320569,7.52086176841
1,18.4980829613,8.91784928623
1,21.7230677813,12.125470265
0,11.0833063546,1.60147839279
0,15.8254431602,7.12889632882
0,16.5441438113,3.86817875675
0,11.2469339322,4.56253383327
0,12.4876740235,3.67635325987
1,21.8411025388,14.708118329
1,21.8473784869,12.0346800679
1,22.4564724171,12.9073392308
0,13.366296271,4.50262563856
1,19.6790417338,8.79349295859
0,9.67250018573,1.45058525879
0,16.3662328596,5.62631859877
0,15.710505004,6.76695821258
1,20.2335160029,12.1623906283
0,9.43572016352,1.89828381545
1,18.2031499832,10.7762388607
0,14.6441409519,6.78295545221
0,16.2055918449,6.60521305317
0,8.60621294851,3.07749501783
0,14.3858551771,4.3902564447
1,24.9601521607,13.7004096587
0,16.0816480359,5.01754665232
1,20.988036418,10.8600888812
0,10.3146844838,2.06256710348
0,10.223182884,0.690693259866
0,16.687751684,8.46180550082
0,9.94677598961,2.28529133105
1,20.4242880166,11.229515594
1,20.0709477377,11.5531959104
0,10.324339727,0.00356147485786
1,21.9094384777,13.9880577416
0,11.8780437996,4.47243567817
1,22.3266833324,13.8167220586
1,22.1102135165,9.99890317286
1,17.7519825622,10.3516830554
0,8.64767715539,0.568908184802
0,14.2909697281,8.71421139047
1,19.1420005319,10.191243752
0,13.5084962408,3.18027110084
0,9.67571353169,0.0580855106091
1,19.4567095983,9.45374780465
0,9.45613612024,2.01711334651
1,19.7910225588,11.0281150066
0,15.7213561018,7.8656423148
0,17.1547558629,6.38244687726
0,14.3500476897,5.37370979834
0,14.8981227065,3.11938497541
1,24.2278321967,14.4373459932
0,15.0771979425,3.6972088438
1,23.3693941863,14.4593629594
1,18.4794879959,6.7313177955
1,17.1328108758,10.5244051504
0,8.95274853704,2.21846071856
0,14.1631070412,4.54780780776
0,13.64874249,4.29709736124
1,20.7844649707,9.81591036796
0,16.4103873018,5.3259980699
0,16.2302884969,7.58017943886
0,15.5529577142,6.58966600648
0,12.8662968541,4.17242205373
1,17.709108154,9.94816626282
1,17.3332440455,8.0182368337
0,12.8091831501,5.56190718825
0,13.7204969176,3.77349221189
0,14.2965875846,3.36439652838
0,15.4104693982,5.79828812677
0,16.9159849692,7.50339119323
0,13.8601543527,5.04489039552
1,19.4449851809,12.2033715964
1,19.4526852011,9.23881427712
0,14.0798128089,4.93686366604
1,19.1338891608,7.89658095987
1,19.0189556007,8.97063307335
0,12.5629703515,5.02380779552
0,11.6550859391,2.53928284736
1,22.2474234695,10.821157308
0,16.5363254582,6.43798649952
1,19.5295599399,10.6832925886
0,14.761207913,2.79479422682
0,13.6639118273,2.88113109029
0,13.9640921079,3.65459642316
1,19.3248178928,12.214656664
1,19.3505682599,10.0784325618
0,8.46617364076,0.307514739569
1,17.9111676327,10.2046398152
0,12.4856866931,3.61658104814
0,14.3898516087,7.02166642612
1,19.1409042397,8.42753524454
1,23.6467058256,12.2146267066
1,20.0467366628,11.5608795702
0,14.7889149689,5.57090233197
0,7.89104915683,1.61008668705
0,13.6468182865,6.3246299947
0,14.0727022273,6.62024450729
1,19.32225396,10.9803969425
1,20.7967285318,10.7902799735
0,10.0889815753,0.604876588328
0,9.12972554199,1.01302070622
0,14.9415417732,2.69691217333
0,9.01941986825,3.43029407411
0,14.5713838943,6.47582363125
0,13.2717920575,6.55820119283
1,17.6957230518,7.26306107872
1,22.3862216441,10.0351840361
1,22.6637790997,13.7980465561
1,23.3281636709,11.1184655666
1,22.9722135211,15.3205224887
1,19.2266427446,9.16265185981
1,17.4571207409,7.49720046007
1,20.9888418895,12.9248191711
0,15.5798036783,5.91781246391
1,19.3807238622,13.6452553913
0,13.6477777455,6.18132652864
0,13.9345536773,2.95259384418
1,18.7633585814,7.80379648056
0,14.5204386897,4.83708808604
1,19.1513502967,11.2168424184
0,14.3970165842,6.31858756523
0,9.92804287468,1.49329455335
1,19.4557562349,10.4264802543
1,19.4550820946,10.0686360504
1,20.5162831036,11.9870068292
1,19.1864508996,7.24522660222
0,13.7835723734,4.53984155181
1,19.0589976895,9.3373733238
0,8.06725623999,1.32749699406
1,19.1006042739,10.0664422012
1,18.4122052388,9.78203966235
0,13.0859578614,4.80973689452
1,19.623063548,11.0550895847
0,14.0135493896,4.3720067864
1,21.0097708683,11.6699267786
1,23.8960413115,13.4909659344
1,19.1508449575,11.3882784141
0,12.3626588783,3.58062005331
0,12.769401463,1.76268702825
0,13.4911268242,2.90221614141
0,7.97446145578,0.423759933012
0,11.524471738,3.98697047882
0,12.94453067,2.40397866553
1,22.9248027764,13.0196599201
0,8.10691867276,1.91061732754
1,17.357183807,6.23923094036
0,12.0414873023,3.08549902816
0,11.1778786569,3.51410879956
0,11.7402754548,1.41832289158
1,19.9636800104,10.575388499
0,15.4491158661,7.88162441726
1,20.4851184413,11.3567121428
0,15.9199756642,6.73421699698
0,17.3152776317,10.2856424306
1,17.9466670134,10.1334329228
0,15.6169588538,8.18213250434
0,15.5854497137,7.69979611211
1,19.745597058,12.5760531944
0,15.7106991027,5.39584029102
0,17.1622089905,5.7387957346
1,22.697839524,14.3315540499
0,17.1540398705,6.28217068456
1,19.0130683867,11.432774527
0,14.4820245234,2.36951859044
1,17.5295157306,7.74747882581
0,16.2563005332,7.84796080266
0,11.1475813874,1.05360421384
0,16.4584172773,5.79461449766
0,15.1880589496,4.40177178186
0,10.6594702123,2.76912056744
1,21.8345611635,10.4189206601
1,21.008093073,13.4389302997
1,17.6443384314,11.3724398887
0,13.5255723579,2.64825868939
1,22.3350925729,12.6566352442
0,12.6361987954,3.69723660721
1,17.9452559806,9.88960246882
1,17.7164575202,12.5315157972
0,13.1810855788,4.89954290889
1,19.3253984989,12.5690770523
0,8.70700792559,0.0185553559099
0,6.84650812408,0.105568277463
0,12.9881638924,3.99374706513
1,17.5055193309,9.92773330785
0,12.5342933054,2.49716387609
1,18.4758192976,11.4139224663
0,14.5797529849,8.16873568005
0,14.4828121275,6.41975019475
1,20.0986893864,13.3540211097
0,16.086543364,7.95221519312
0,15.1274374551,4.41862850411
0,15.0890147063,5.30921683485
1,20.9689115324,10.677639252
0,14.6403671747,5.91709527969
0,11.4739880987,3.44878035406
1,19.8416971447,11.4838150101
0,9.01748196617,0.740098720305
0,14.1375355057,3.8903010983
1,24.7177695665,13.8002066944
0,14.8512170631,3.71352224838
0,11.6833537142,1.46292141129
0,16.3123424658,7.1920067422
0,15.1154668499,9.60888745889
1,21.1442381996,9.78054295913
0,15.1776016231,5.14581380227
0,10.8460332158,3.05556767438
1,20.6323107629,13.2311826932
1,23.2466791849,14.8458939329
1,18.8143770674,10.8048309311
1,19.266906477,12.6578143525
0,13.7439698049,4.75933685012
1,23.8511663477,12.5872213605
0,15.7835214969,8.3161370206
0,14.9899979026,5.53193972854
1,18.6875655413,13.2450166405
1,24.7968904537,13.8652583722
0,14.3407402888,8.42769922524
0,10.0663584682,0.790768042759
0,15.775666427,7.87554063111
0,14.559502117,4.7960597884
1,19.1119717567,12.3532223136
1,17.9204068376,10.2932696608
1,17.50921031,8.22114599096
1,17.4863094935,9.79387548798
1,18.371477203,9.12550385615
1,23.0771046981,14.3863152778
0,16.4402155783,8.0560029829
0,11.4901548017,2.47797825991
0,13.3239166891,3.71308735246
0,12.0429536839,3.82794984742
1,21.2386864238,13.8144753719
0,11.3800948692,2.7784599867
0,11.7001699732,3.22936402807
1,22.0539598794,13.8874096513
0,10.1200062568,1.76482992587
0,16.1739060137,5.53294518721
0,11.793176484,1.864826872
0,16.3815204825,7.99451748535
1,19.9815562694,9.61211073799
0,10.6877831162,1.41741925253
1,18.9641962694,8.53319964213
0,10.859903589,3.7347506259
1,21.1431980655,13.4661518652
1,17.3914355645,8.83938261445
0,13.5798863707,3.79585614633
0,13.9552091078,2.95005008728
0,8.53450335726,1.37724298569
1,18.5581164624,7.51419446535
1,22.3451341078,11.6413659109
1,21.9332638011,14.0511182317
1,17.5505571669,11.1690163219
0,10.9691016311,2.9275448338
0,14.9302318755,7.2653042125
0,15.0832094656,4.28135335169
0,14.5127784292,4.94094925658
0,9.63189013353,1.9993265843
0,14.6343676257,4.83433806689
0,9.70678497312,0.641326655757
0,8.80411004974,1.35410913197
1,20.1820963073,12.0378164198
0,15.2970993532,7.3228989228
0,16.162689933,8.04864422193
1,26.2769594122,13.9472377807
1,19.9180038981,13.6148213462
1,19.3552296176,11.8671081148
0,14.6495122935,4.47921085941
0,12.0459537846,3.68745949532
1,18.0007715717,10.9686165197
1,17.2118801204,9.65973969626
0,12.3202882259,0.457009786123
0,16.055531703,5.51107890451
1,22.0777696392,11.6789615655
0,15.2012762566,5.02340881711
0,13.6902558468,4.98314634832
0,7.06403614028,0.0789393005089
1,18.2393285304,10.2910853818
1,23.3170393762,13.4081380051
1,21.9816704938,13.3018584991
0,15.4908010456,4.64323950944
0,9.04939845244,0.660255522456
0,12.6884833341,3.12845708087
1,23.0381863137,15.1796402476
0,16.6680966354,6.66480857604
0,11.1874849223,3.96667208433
1,17.0070337675,8.16252751171
1,22.1377451265,13.2611876103
1,21.6243322769,13.4353514027
0,15.0578811361,3.48801859084
0,14.0099741541,6.89991855127
1,20.427350392,9.17938126311
0,15.3840923681,4.48881197539
0,14.1854044729,7.22919046236
0,10.4736155737,0.780359459994
0,9.34653182105,1.31018071859
0,16.0471311043,5.46566806026
1,20.1795024339,9.96025552373
0,14.5486335509,5.57693986321
1,20.4025217166,9.32489314733
1,26.6825600362,15.6796414905
0,10.5635497331,3.20827832102
0,16.9169856686,8.72005675761
1,21.6598855381,12.2497980262
1,18.1807982878,6.79408377971
1,18.9501599894,10.1172504074
1,25.2572850359,14.3596248406
0,15.5263765765,5.04459177066
1,20.6195784239,9.96503929045
1,20.8459103278,10.0860220768
0,12.0500833412,1.87235360218
1,23.2854951043,14.2073375627
1,21.2546636746,11.0869292051
0,13.1368667428,4.07443237767
1,18.5990533843,9.92072346658
1,19.1704608962,6.98467602886
1,18.1388822382,7.49166579465
1,19.2756233156,12.1378327058
0,9.94492924263,2.04533146182
0,8.89540372925,0.0953164999755
1,20.1599282067,14.0362090192
0,14.9854421715,4.41472623886
1,25.6031089471,14.4888269419
0,15.1455526974,7.36764014983
0,11.0549328542,4.95734506876
1,17.1839004743,6.57551390991
1,22.2557594084,10.3020337981
1,20.5853075474,13.5446614669
0,15.9588274267,5.73000497242
0,15.9793856595,9.42583232241
0,11.1082788497,1.61955891639
1,19.631719817,11.5957534031
0,9.75450555283,0.365436118543
0,15.7989382113,5.81210271069
1,25.6606331855,14.3424552381
1,21.1702704389,11.02337634
1,21.7810421507,10.7699266136
0,14.2172972693,5.41976224519
0,10.8474011969,0.551224889702
1,19.8235585343,12.5076388993
1,21.1793459608,12.6382863628
0,9.17572834342,0.899113710316
1,20.0456246073,13.4354252917
1,17.9669715516,9.94660308631
0,11.608178066,1.32799925447
1,17.6194306912,6.39380239038
0,10.3010517466,0.671064443093
0,15.085355175,5.00378688845
0,9.63895405445,1.93463552387
1,20.3918369278,10.6919691469
0,16.2222273279,8.31588870294
1,20.9465928642,13.7375185714
1,21.6052896878,15.408573932
0,8.55508886479,0.766807560049
1,16.8283950933,9.66519571646
0,12.2019491869,3.18324213389
0,12.7046296187,3.97600040992
1,22.0156643736,11.8383166628
1,22.2003244562,13.6947593431
1,23.3054207973,14.2375096349
1,24.2993746807,13.6361591514
0,10.5229591461,1.48404746628
0,14.2342925279,6.29945193086
0,14.322798723,4.71717812889
0,14.6829171176,6.27214558273
1,19.5988644487,8.58504596754
1,19.2245570189,11.6988599597
0,13.8795571781,2.49808047868
1,18.6480210893,8.18439701573
1,18.9112662928,10.9441108702
0,12.8461591081,4.52252218055
1,17.744929909,6.24358278375
1,21.7761008978,12.6247546297
1,17.4467003984,8.89765028189
0,16.5040898916,7.34210509371
1,20.9769864616,10.720337967
1,20.3979551887,10.7003829978
1,21.8574344181,12.734814433
0,11.4916299512,2.84179690632
0,16.6856733031,6.50370012948
1,21.4488137541,13.4085607782
0,15.2950049911,6.1787392696
0,15.4027680849,5.97602189049
1,26.1567406208,15.1226950096
0,14.3084069508,5.9976663658
0,14.0685361125,7.75452153884
1,18.8629306047,8.65145120891
1,19.8437740402,12.3717466035
1,21.9161572525,13.6084239303
0,15.3825568029,9.69289812771
1,16.2544531816,8.19124995936
1,22.0546988633,13.0709806676
0,12.2259866363,2.75998793821
1,23.3505184956,11.1552282311
0,13.1459037617,6.58254570966
0,11.5783592942,2.77622254401
1,21.4674665888,12.1101230964
1,18.1363113279,7.37950932789
1,23.953962733,12.3847039267
1,19.9293213763,11.4247968989
0,14.7329842169,5.36746919526
0,13.5329327254,4.4655271232
1,24.0234478973,14.2943070793
0,11.6684961049,3.28604906316
0,11.7811409374,4.09348059273
1,18.8106567569,7.25499084941
1,17.3602820503,8.24447910332
1,18.122969936,7.83448764181
1,21.9780082231,13.658709031
1,16.6631183908,7.30298635308
0,13.0467353189,4.66452212853
1,23.6910092318,14.9936959785
0,10.1920920283,3.13315882076
1,20.4803013689,9.05329005085
0,8.96120200549,0.971963265679
1,19.6116070994,11.7663250586
0,10.4652382907,0.0387129105193
0,16.3527637358,8.14955863119
1,21.2193496632,13.331601858
0,10.8971344875,2.80637250555
1,21.1404418009,12.2178527054
0,11.8638448683,2.37166404429
0,12.5335064071,4.09029090679
1,22.0724866931,12.8959106518
1,21.7525098429,11.8438015275
1,22.3988879665,14.2829180091
0,13.3337118893,2.32245419149
0,13.3118071539,6.06070692254
0,14.2942586672,2.58010739544
1,18.5168014389,11.5795917159
1,23.7641273589,12.261516046
0,12.7183263431,1.79971192683
1,16.5087045172,8.477283656
1,22.2403114977,11.7425766079
1,23.5888848635,14.2251194407
0,12.8618089818,2.07208264834
1,22.8100525453,14.2205445534
1,18.6636694136,9.59334418396
1,18.9071295256,10.6482311322
0,12.6191595497,4.11504032572
0,12.4004976,3.01910761266
0,12.7215110737,3.72786101744
1,23.6271500157,12.6178586762
0,15.9109974732,4.82204350906
1,20.4219752196,9.85623774437
0,14.5773118274,4.66619652013
1,19.1954970476,12.9679579661
0,15.3024693121,6.19395294672
1,21.0530534025,11.3142988839
0,9.66439075115,0.826547819584
0,8.53605151377,1.33605589885
1,21.5647990279,10.3298540404
1,20.9728996543,13.2478571148
0,10.5432103374,4.75451858073
1,21.1376434392,12.374925318
0,17.477175065,8.41783311117
1,21.3340364141,10.0501500844
