a.s,s.s->a.f,c.f->a.s
0,10.9010396919,3.51226098386
0,17.0838743434,8.19977667289
0,10.9698713368,5.5841295035
1,21.3242987669,10.619381186
1,23.145640812,15.1279313518
0,12.4723408372,2.77652267183
0,10.614858579,2.85541333238
0,12.8315893536,4.13492179642
1,17.5173070128,10.0164889753
1,17.0455130008,9.31602865035
1,23.6111427261,14.2023398562
0,11.4870096097,3.11444181925
1,16.1413887933,4.64427284272
0,10.3826977341,2.7166930439
1,19.6549325941,13.3618779834
0,13.0762534812,2.94946630286
1,18.6821500976,13.8573468637
0,13.0683735669,3.11120227128
1,19.6826378269,12.0580235273
1,20.7331327044,11.289847563
1,22.0539581546,12.4948325866
0,9.0741491722,2.10666408759
0,12.3063468329,4.88899444294
1,18.3202892994,6.53668916402
1,18.9010303728,8.50067812144
0,6.51442657401,0.292742486123
0,12.661895114,2.83376478607
1,24.4943542588,14.9539455435
1,19.7912241906,10.8457534989
0,14.1593524662,3.52435490705
1,24.7697912452,13.5056037146
1,23.2814459035,12.7051795078
0,12.0287993171,5.63007728422
1,20.7197635111,10.094116756
0,12.4394353587,3.10990313363
0,11.4584447707,3.36845606527
0,10.9560624084,3.01720032942
0,11.7329712338,3.07122073249
0,13.6972041714,8.64455075698
0,10.0218970416,1.79682988358
1,18.8023050068,12.9653017928
0,12.9822072145,3.93715114591
1,17.5092653405,10.3686992171
0,13.9022874315,4.57461890781
1,17.8518359516,11.1220097842
1,22.0622160985,13.5052362748
1,22.1553299812,14.7013980959
0,15.2893881181,5.44105758574
0,15.0805139355,6.65490789384
1,19.9720638925,13.7610787817
0,10.2163254998,3.19976849789
1,18.9564459206,13.0565902201
0,16.0472427547,7.064922906
0,13.0233139739,4.58449885284
0,13.8208557247,3.38094031254
0,9.03228591224,2.76570598124
0,15.9027031121,8.87280820731
1,26.0125645097,14.0971064351
0,16.3229540459,10.2439816208
0,15.9981451751,8.24997371181
1,22.3839559712,10.45828794
1,23.1870986438,11.4339460199
0,16.8597930818,6.92361902919
1,26.9060323285,15.1690772574
0,13.3316870772,5.3422397953
1,16.2195376266,4.62128845176
0,9.68369982879,0.00160147466283
0,10.9042203929,1.41038753469
0,10.7938744735,4.06425535814
1,21.2848863442,14.0599502972
1,17.9092592137,8.40385393701
1,17.3549701261,11.6568981167
0,17.5202127586,7.52481723536
0,16.596161866,6.77701150447
1,21.7862320602,13.7356512416
0,15.7345121371,4.36897142603
0,16.1072415291,8.72568349732
1,20.9864835477,13.1484358221
0,12.5986458068,2.99174626924
1,23.9398671141,14.7452482315
0,9.57389860677,1.61513018971
0,11.0825514559,0.150174540992
1,21.3817721532,9.5809289166
1,21.6387847536,13.2888748735
0,11.8397483423,0.798791251783
0,16.547105769,9.8965260334
0,14.1777081959,5.43466843314
0,16.2828125634,7.77203775228
0,6.40448819868,0.959376392578
0,11.435807818,5.02344572463
0,14.7084830181,7.49984759426
0,9.13987545416,1.09316723742
0,14.9818751115,5.08016095011
0,10.4842156395,1.38524307155
0,16.6166483613,8.98965496512
1,19.3002225719,13.711450719
0,11.4523020738,4.82222314522
0,12.0541787747,1.21127979934
0,10.6996606086,1.4240330476
0,15.2146918404,7.3489552975
1,24.1325555566,12.4944160456
1,17.9159221966,7.54908338737
0,13.3469415924,3.0727475166
1,16.997649247,6.78226744047
0,14.031820453,6.32997738199
1,23.3428129539,14.6087261692
1,16.7860689305,11.3185322669
0,14.5206017834,2.62474104481
1,24.5272928887,14.005790351
0,12.8724560962,2.53671540382
1,18.7895741387,10.3349709234
1,18.0945298195,10.5746936884
1,22.4951793533,12.4607543819
0,14.6180149439,6.70296372683
0,13.377387849,2.20438526106
1,22.1632634796,12.8435502653
0,12.0678645553,3.05142839611
1,17.6703411805,9.61372118995
0,18.1611340943,7.94890107451
1,23.0298745162,12.2416263312
1,24.6327388207,12.6210565119
1,23.3722678086,11.408141172
1,23.7760277101,14.8611376537
0,13.0452894583,2.8912819478
0,12.827056982,2.07393739282
0,13.0448794893,0.991085860174
1,18.1097421222,12.2970616564
0,13.4864152874,4.96059476597
1,24.6263947886,15.200873261
0,13.2103480551,6.23177092848
0,12.2175349055,5.87752102923
0,16.4860166141,7.83442922862
0,16.6359978269,8.87483862214
1,20.1840466644,12.5882299221
1,20.393929834,14.3802774302
0,16.8990054934,6.00078837584
1,21.3104518641,15.0124023309
0,15.421729515,4.10865649653
0,11.0210149349,0.963490471152
0,11.2416802181,4.13068674695
0,9.55867070739,2.4015155343
0,16.2323180378,6.37752602759
1,19.3179859826,8.42355031212
1,20.4662413461,12.0416729944
0,12.7660407437,5.65433322691
1,20.2883128503,12.4167879429
1,22.2778157117,11.76150971
1,21.5100713214,10.5734105531
1,21.1570038181,11.1597757698
1,17.0580859287,8.74482832982
1,22.4799199273,14.2058448389
1,20.3969113199,13.4430495925
0,16.8476117197,9.64332643441
1,21.4206662637,13.2994005807
0,15.2913971469,10.4612828104
1,21.7915626843,13.7624401944
0,16.240963899,3.75379739167
0,11.9110415488,3.56518960573
0,10.408588279,4.9558578152
0,16.4347963462,9.40181501362
1,20.7997116423,12.0736158372
0,17.9799325489,6.1331981608
0,11.5001948167,0.575171495568
0,11.2569911502,1.68393129653
1,22.0186671267,11.4007799457
0,14.0331920107,3.0157604113
1,16.4186521264,9.74029446716
0,16.152133446,7.63239707066
1,22.6695953577,12.1181680093
0,15.9693251092,5.26657093117
1,20.3194258988,10.8921812727
1,17.7317469577,10.5392911609
1,22.222266158,11.8137832065
0,11.3455516497,0.0376218955071
0,11.7226551034,2.37303969913
1,21.1728484805,12.8701808385
1,20.2057584385,13.0054764803
1,19.9857912541,10.5221415571
1,19.4787448188,8.65637036377
0,13.3734421297,3.75407672283
0,15.4007878161,4.70318925497
1,24.8384454437,14.0556339403
1,18.1191347663,6.0646884327
1,19.0231123876,11.2828806047
1,20.7012353432,10.4408246888
1,26.9956015551,14.5787685068
1,21.3484870573,11.5890344999
1,22.0859394192,13.8809827685
1,23.2310772356,11.7117182984
