a.s,s.s->a.f,c.f->a.s
1,18.4276456784,9.67165512674
0,12.1584912817,3.85377713467
1,24.6788148895,15.2291866655
0,12.4769820856,4.62811178351
1,21.6272371804,11.5559819888
0,14.4083475018,7.12020618026
1,25.7561920887,14.8335180217
1,20.1969038329,7.24741433777
0,13.5284908012,1.4895235195
1,18.1619773389,7.28629038843
0,13.1077376347,7.07225247253
0,16.0748178395,7.90261344772
0,10.6790001458,2.70137464282
1,21.3194026005,10.7040600682
0,19.2838395122,9.97221923191
1,23.5576802624,12.6536405859
1,19.4479882086,7.66149375728
0,15.1807918222,3.89944635493
1,25.7843226337,14.8049274676
0,15.0685485739,5.17900601876
0,15.7419601573,6.04852160908
0,13.6607948481,6.9521783915
1,19.3855349235,11.1188903561
1,17.1563761559,7.59937985954
0,14.7053245417,6.52078120174
0,14.5777491988,3.56019710568
1,16.6928785093,7.18844967903
1,18.4045146599,9.70117737051
1,20.0473390715,6.96526960274
0,13.4878161951,0.863665521215
1,23.2624121769,13.9779635249
0,13.3456352047,2.78765080134
0,9.52370665997,0.376203521727
0,14.6275295357,4.53037939556
0,9.18128034288,0.216966576411
1,18.8393624238,12.2200710552
0,9.97795031287,1.48775710006
0,11.4685538981,0.698595851423
0,15.6871056653,7.12535286977
1,20.6935470167,10.704276085
1,19.8717692829,13.1009249783
1,21.7013009041,15.0645016921
1,21.2275499384,11.0941575435
1,21.6294768838,10.0821877098
0,16.8386195978,6.08550175651
0,16.9479719917,6.41147439714
1,22.0119892808,12.583754765
1,22.3040113204,14.0983420617
0,15.3639119039,6.41279617348
0,14.3175145979,6.47365514466
0,15.8026501644,7.23606269491
1,21.0068369568,12.8250818999
1,22.9409200137,11.6068587018
1,21.87336917,9.79009571044
1,21.3871690321,11.9751335966
0,15.6740955116,4.50304723587
0,11.3539933766,2.57609712034
0,14.5645158287,7.98156032871
1,21.1630420887,11.3793239924
1,24.3965969089,12.8381084124
1,18.8806938407,9.69668522008
0,14.7629082089,6.59357204786
0,13.6848219122,5.00355490967
1,19.6690908697,11.1996584125
1,25.1908845495,14.8473615629
0,8.6850912281,0.591323985237
0,14.3663996527,5.02476469506
0,14.8633629758,3.37431007568
1,18.9409715591,8.36385989254
0,9.32990971183,0.542369301414
1,20.0861609433,11.5523952388
1,24.1663056478,12.9721454891
0,14.6116000169,5.61585353697
0,15.0705060993,4.4127912657
1,23.4773580209,13.8246272334
1,19.4004479569,9.00982626149
1,20.5958223475,10.7216427734
1,20.0176826775,11.0984894132
0,15.1637640643,5.77107854248
1,20.9873759057,12.4352355049
0,18.1636555504,7.36844863457
1,19.3481922923,6.53459126997
1,25.0523427342,11.4720109638
1,18.9769597141,7.7123779976
1,18.1546584441,6.04393248775
0,14.1089142464,7.14740206295
0,15.3338085754,4.13554667857
0,11.0750488875,3.32468782496
0,16.4503176924,7.49026188107
1,21.5160127266,13.7008230452
