a.s,s.s->a.f,c.f->a.s
1,11.4359512633,2.95361277923
2,13.4280670563,2.29928707929
2,12.8048173544,3.68194140202
2,13.7009755183,1.38344900118
1,8.42501558666,0.0548938966274
2,12.1002485137,2.77511258516
1,8.33308430108,2.70733463715
1,9.09666751729,0.329908349926
2,15.7142413495,4.60514282156
2,15.9103815882,3.32412373216
2,13.8693757367,3.83947913271
1,8.88314154968,2.55720873042
1,9.87167580701,2.82055920408
2,14.1031191434,4.6547880476
1,9.28949577215,0.10544924277
1,9.51192521911,1.08538868266
1,8.96963040393,0.0330326776858
1,6.59313656452,0.117587206938
1,11.2499131361,3.76252953686
0,6.30535737365,0.0205983923615
1,8.34374719292,1.57658967469
1,9.34990570872,2.9942415637
1,7.67598190278,1.06480313171
2,15.6586035197,5.14041854865
1,11.1440168776,2.88525990579
2,12.6727281567,2.38634921601
2,12.7354057393,1.39341259442
1,13.4313758921,0.815734701589
2,13.0664048318,4.00611846658
1,7.60624959147,2.14887471735
2,13.215301451,3.66388798492
1,8.55560293631,1.17705447998
2,13.8184400093,4.43555976312
1,8.7715211844,0.678806428245
1,7.41824990856,0.470312755568
2,12.1791639576,2.30394317992
2,17.296029374,4.92890397894
1,12.0698752571,2.31199424199
1,11.7318952507,4.51309192105
2,12.7133420687,3.89745386102
2,12.7914810543,3.935773634
1,9.19886324885,2.63158389213
2,13.7981234014,3.75550287589
1,8.74820221131,2.33636760731
2,13.3564248415,2.73717835287
2,11.7017942192,1.56140087744
1,12.1285116823,2.70602625247
1,10.2224579142,0.382200293359
1,12.1268028375,0.220182859393
2,11.3749540269,3.97290062824
1,11.874935612,2.94694604405
2,13.6331009827,4.42054876078
2,13.0287752524,3.90878278992
2,12.9111458999,1.65565220195
1,8.56861764195,1.69854880037
2,13.3211204775,3.04303154179
2,12.2538627237,1.53058432158
2,11.9087860882,3.13493525665
2,13.6591252491,2.82740041022
1,9.28658038927,0.0471629693378
1,10.6146399362,1.64387149769
1,9.01615515925,1.75602019449
1,8.84799888604,2.37165791165
2,14.5050277334,4.82417623307
2,14.64161136,4.5709184326
1,9.06231229535,0.252679375521
1,9.092018694,1.1694216762
1,9.17009182791,0.758435253378
1,8.74715092979,1.34069997835
2,14.6581735347,4.67344553184
1,8.93460356913,1.26191416316
1,8.16449507934,1.18038206876
2,15.32611615,4.41133454034
2,15.2595873166,4.50910567149
1,12.1550867984,3.84453881355
1,11.6189622983,4.27773086561
1,9.96104764075,1.54232208834
1,8.71181609164,1.61021547413
2,14.4216726905,3.94597482962
2,12.9424636377,4.14367529638
1,8.86277793572,1.94954565348
1,9.68586636648,2.44281395761
1,9.36998137129,0.419035593947
2,11.684487981,4.13607735065
1,11.6076508756,3.35363191367
1,9.57352042826,4.10599994728
1,10.8615401903,2.07879049465
1,9.94375561718,1.61887141752
1,11.4024000209,1.0270122222
1,11.5121582165,3.7594022941
2,13.3869340421,2.42619353211
3,16.0642542658,3.75205846038
1,12.1308855994,0.989999369405
1,11.9171434353,4.36950470323
2,16.4300060262,5.36277808462
1,11.9835951672,2.51917536717
1,10.0238390435,2.10937724552
1,10.026416991,0.846800707906
2,12.8840816714,3.03851017511
1,8.27559248704,0.227377365349
2,12.092931263,3.4231203903
2,12.9994060016,5.12863385887
1,8.11568895204,0.277664427092
2,14.4522175007,4.15884301809
2,12.8170448035,3.45167262066
1,8.75393996439,0.222340008493
2,15.5680584412,4.69887487915
2,14.2641334725,1.70722286103
1,8.27054171162,1.04831012112
2,11.1084902172,0.483884784603
2,12.3359279906,3.33281894505
2,12.1623189127,0.990910895147
1,9.51354477543,0.274157452396
1,9.53546730732,2.41867150284
1,8.86653831441,0.36634416054
2,15.5928675655,4.19426751541
1,11.1402968932,0.877258268429
1,11.8529575586,3.65744530147
2,12.0177567098,3.65320139339
1,12.0985293535,1.53843874657
1,10.374278985,3.65487114039
1,10.4192469658,1.39155916719
2,12.3504464304,3.82457363561
2,13.8385600167,4.65475600866
2,15.0839691922,4.85854888737
1,9.0329709714,0.656145611814
2,14.4208132324,5.14127528821
2,14.1960831185,2.43541802172
1,9.78895944869,0.13850094981
1,9.96308750487,0.535280812647
2,14.3214798155,4.87121969829
1,8.17725873875,1.05111637192
1,9.08760327119,0.141787797549
1,10.12767812,0.529981975223
1,11.3258701443,2.45257156935
1,12.1019772391,3.75241033124
1,9.51455953251,0.947651041444
1,9.42328010711,0.938080214129
2,15.0983581772,4.53460165214
2,14.8039205747,5.01799858145
2,14.6679365344,2.60486037321
2,13.4374001626,4.81722628027
1,8.04458573909,0.415050326391
2,13.1689849323,5.22886171126
1,8.44294348718,1.46820235033
