a.s,x
0,14.2362829719
0,14.250173582
0,14.4679683
0,14.4753447577
0,14.4977896241
0,14.6143301156
0,14.8397352208
0,14.9792527082
0,15.0722898635
0,15.1420151102
0,15.1432072488
0,15.2061307273
0,15.2857299737
0,15.3030569441
0,15.3171798843
0,15.3291033122
0,15.3343089361
0,15.3772873314
0,15.3793164246
0,15.3880174126
0,15.4507997861
0,15.4864454148
0,15.5233202267
1,15.5319338896
0,15.5470211789
1,15.5768688717
1,15.5974507791
0,15.6178254532
0,15.622382545
0,15.6283327673
0,15.655028558
0,15.6637207226
0,15.675310281
1,15.6777012454
0,15.6964403168
0,15.7113173352
0,15.7166240265
1,15.7183927944
0,15.7458198451
1,15.7528360543
0,15.7535398583
0,15.7632248002
1,15.7648894053
0,15.7779573008
1,15.8009192095
0,15.8044914732
0,15.805292633
0,15.8073346795
0,15.8116224229
1,15.8209465876
0,15.8251864574
1,15.8319530403
0,15.8566586962
0,15.8736091729
1,15.8761859953
0,15.8844761935
1,15.8897334841
1,15.8903735091
1,15.9065968346
0,15.9313373939
1,15.9445206296
1,15.9461685229
0,15.9537672906
0,15.9644054268
1,15.9805824997
0,15.9821948209
1,15.9968462979
0,16.0095239085
0,16.0150514599
0,16.0154903611
0,16.0243446981
0,16.0417768223
1,16.0419441332
1,16.0491812025
0,16.0515716579
0,16.0711497975
1,16.0881524493
0,16.0889075807
0,16.0921762964
0,16.1034302518
1,16.1039381474
1,16.1173217687
0,16.1248408624
0,16.1321441498
0,16.1547976934
0,16.1613526671
1,16.1650442863
1,16.2060120678
1,16.2312715438
1,16.2319734257
1,16.2467376332
1,16.2504452921
0,16.2519219853
1,16.2536583442
0,16.2604159563
1,16.2717646085
1,16.2806701557
0,16.284956434
0,16.286957956
0,16.299935697
1,16.3072256743
1,16.3111056847
0,16.314926238
0,16.3183941258
0,16.3206815286
1,16.3212780983
0,16.326867999
0,16.328633186
1,16.3492445239
1,16.3609017732
1,16.3681377078
0,16.380966794
1,16.3821946542
1,16.3900749461
0,16.4033475168
1,16.4169286373
1,16.4212815796
1,16.4262223466
1,16.4272302126
1,16.4431882891
0,16.4433678327
1,16.4476113234
1,16.4503841714
1,16.4521154113
1,16.454072855
0,16.4615337711
0,16.4636984323
1,16.481656849
0,16.4852693295
0,16.5016941491
1,16.5058417082
1,16.5079118169
0,16.5081311687
0,16.5134901724
1,16.5191045208
1,16.5253155354
1,16.5278601926
1,16.5290810617
0,16.5293963612
1,16.5318037365
1,16.5363443837
1,16.5379035764
1,16.53791181
1,16.5451060983
1,16.5552434218
1,16.5617151079
1,16.570341168
1,16.5733682202
1,16.5740413376
1,16.5769838658
1,16.5783432371
0,16.5790292039
1,16.5801391623
1,16.5889526669
1,16.5936613225
1,16.5947321462
1,16.6025384621
0,16.6086019752
1,16.6390855021
0,16.6407117603
1,16.6447466263
1,16.6452451189
1,16.6535760907
0,16.6551683961
1,16.6814072222
1,16.6829237654
0,16.6863821859
1,16.68900553
1,16.6890398269
0,16.6897007571
1,16.6901511311
1,16.6917020752
0,16.70039641
1,16.7043608141
0,16.7160025146
1,16.7253602781
1,16.7367966195
0,16.7401168496
1,16.7426354133
1,16.7493458698
0,16.7504267851
1,16.7509087602
1,16.7547605784
0,16.790064929
1,16.8011171266
1,16.8029433
1,16.8141552334
1,16.8142459691
1,16.820770072
1,16.8210942461
0,16.8213553161
1,16.835619826
1,16.8364282465
0,16.8462249542
1,16.8492545043
1,16.8531915455
1,16.8587512484
1,16.8604504237
0,16.8622132792
1,16.8651398524
1,16.8716897765
1,16.8766921375
1,16.8804652202
0,16.8804935702
1,16.8847907271
1,16.8871038656
0,16.888784352
1,16.904821046
1,16.9105810106
1,16.9113154486
1,16.9149237809
0,16.9207504532
1,16.9216454999
1,16.9232040179
1,16.9284662524
1,16.9344175012
0,16.9421196929
1,16.9480479235
1,16.9522168946
0,16.9567011395
1,16.9666766731
1,16.975207001
0,16.987887132
0,16.9915444272
1,16.9926710824
1,16.9934514916
0,16.9965158293
1,16.999182877
1,17.0003486557
1,17.0102947868
0,17.0107729445
1,17.0179541215
1,17.021640348
1,17.0219174266
0,17.0236295441
1,17.0237668192
1,17.0243022235
1,17.0256336709
1,17.0268935183
1,17.0273749378
1,17.0288083349
1,17.030097018
1,17.0398707537
0,17.0417970545
1,17.0420468855
1,17.0485628109
0,17.0498185058
1,17.0525815866
1,17.053114147
1,17.0601958142
1,17.0648199345
1,17.065879078
0,17.0690983892
0,17.0692544984
1,17.0715158457
1,17.0725503665
1,17.076101594
1,17.0768363141
1,17.0799972758
1,17.0852517581
1,17.0974726854
1,17.1045764817
0,17.1097313806
0,17.1100460597
1,17.1119296704
1,17.1131303969
1,17.1146438836
1,17.1152433051
1,17.1157369449
1,17.118135193
1,17.1228161195
0,17.1268060458
1,17.1281895092
1,17.1334996652
1,17.1343988965
1,17.1433651586
1,17.1488573089
1,17.1571173484
1,17.1599825345
1,17.1603806781
1,17.1617246163
1,17.166070482
1,17.1676287629
1,17.176172382
1,17.1764088364
1,17.179634869
0,17.1802539217
0,17.1841038147
1,17.1923053766
1,17.2020927547
1,17.20591342
