a.s,s.s->a.f,c.f->a.s
2,11.0472322943,3.
2,11.2411841264,3.
2,12.7791018796,3.
2,11.6389036771,3.
2,12.3705207368,3.
2,11.0968806681,3.
2,11.6213624093,3.
2,12.1656477828,3.
2,12.9223840974,3.
2,12.2246492406,3.
2,11.624944745,3.
2,12.3017520832,3.
2,12.3350015237,3.
2,12.0636331424,3.
2,12.0125593734,3.
2,12.3219996679,3.
2,11.7475569456,3.
2,12.191268974,3.
2,12.3464754358,3.
2,12.9929682977,3.
2,11.8056063214,3.
2,12.0239869392,3.
2,12.7910008012,3.
2,11.6982775506,3.
2,11.3825206674,3.
2,12.5918145743,3.
2,12.3873078838,3.
2,12.6562014989,3.
2,12.6930664051,3.
2,12.1690863115,3.
2,11.9460752677,3.
2,11.7075465613,3.
2,12.2168156841,3.
2,12.0000169776,3.
2,11.3427575771,3.
2,11.5379933741,3.
2,11.7045580548,3.
2,11.5098963303,3.
2,11.5527308546,3.
2,11.4154267222,3.
2,12.8501203138,3.
2,11.7555090314,3.
2,11.4064096027,3.
2,12.500579889,3.
2,11.4980360849,3.
2,11.1304118921,3.
2,12.7788148666,3.
2,11.9975173646,3.
2,11.9734621897,3.
2,11.0081378552,3.
2,12.6927570352,3.
2,11.2796914183,3.
2,12.6354670031,3.
2,12.2804688529,3.
2,12.7861460242,3.
2,12.6970069087,3.
2,11.5555342514,3.
2,12.019726999,3.
2,12.9475556841,3.
2,12.7484055441,3.
2,12.3115400005,3.
2,11.1012162256,3.
2,12.0353551436,3.
2,12.1153725887,3.
2,12.0543869037,3.
2,12.8971243427,3.
2,12.6504344652,3.
2,11.3567272016,3.
2,12.818608998,3.
2,12.479662352,3.
2,12.8835821568,3.
2,12.6016540157,3.
2,11.562746346,3.
2,12.8517183559,3.
2,11.6321994977,3.
2,11.6644478577,3.
2,11.8296961098,3.
2,11.6135613953,3.
2,12.9181174474,3.
2,12.9009397668,3.
2,11.2563776645,3.
2,11.2774710721,3.
2,12.6405086093,3.
2,12.6027743096,3.
2,11.679294932,3.
2,12.1657793804,3.
2,11.097262597,3.
2,12.3414440221,3.
2,11.0203026226,3.
2,11.9065403008,3.
2,11.9446992098,3.
2,11.0410598183,3.
2,11.6064941963,3.
2,12.8655445247,3.
2,12.1142292427,3.
2,12.8351677872,3.
2,11.5237180706,3.
2,11.4508662022,3.
2,12.1457344449,3.
2,12.1078284419,3.
2,11.7454222885,3.
2,11.4555093847,3.
2,12.4727639875,3.
2,11.6160234161,3.
2,12.3608645724,3.
2,11.260498555,3.
2,11.5218469949,3.
2,12.6173990717,3.
2,12.0164584607,3.
2,11.7415891308,3.
2,11.1682015761,3.
2,11.888683044,3.
2,12.1551518637,3.
2,12.7173442936,3.
2,11.1397973599,3.
2,12.8475001218,3.
2,11.8609605546,3.
2,12.6060749288,3.
2,11.6873458417,3.
2,12.8108393599,3.
2,12.8091687118,3.
2,11.3162269509,3.
2,11.9039639333,3.
2,12.2383603011,3.
2,11.5775276141,3.
2,11.3394118985,3.
2,11.0826443354,3.
2,12.6642306474,3.
2,11.0387940555,3.
2,12.5151554442,3.
2,11.6142787428,3.
2,11.734727879,3.
2,11.443982186,3.
2,11.1494010808,3.
2,12.7968630249,3.
2,12.7985060501,3.
2,12.7685644703,3.
2,11.299873065,3.
2,12.6589495762,3.
2,11.2230922228,3.
2,11.8288661565,3.
2,11.4842634466,3.
2,11.8592252748,3.
2,11.5136151781,3.
2,11.4691367584,3.
2,12.4136691539,3.
2,11.6097235929,3.
2,11.3986163085,3.
2,11.5064641108,3.
2,11.4551511991,3.
2,12.1692798181,3.
2,12.5372860716,3.
2,12.3698199486,3.
2,11.9279107513,3.
2,12.0277980531,3.
2,11.0895424831,3.
2,12.0820094115,3.
2,12.0071597899,3.
2,12.191987266,3.
2,12.0153915892,3.
2,11.6127276859,3.
2,11.208054369,3.
2,11.1962365265,3.
2,12.7449336403,3.
2,12.5359039178,3.
2,12.1967449743,3.
2,11.6515096846,3.
2,11.2430486077,3.
2,12.9579168464,3.
2,12.4788972042,3.
2,11.825338044,3.
2,12.4879828706,3.
2,12.5615311738,3.
2,11.1782922419,3.
2,11.9725004501,3.
2,11.1744532853,3.
2,11.9877387181,3.
2,12.6029835327,3.
2,12.0770116941,3.
2,12.1881075346,3.
2,12.5280408632,3.
