a.s,s.s->a.f,c.f->a.s
2,12.5940250406,3.
2,11.4494261403,3.
2,12.5231261581,3.
2,11.8050510687,3.
2,12.4211428971,3.
2,12.1628073785,3.
2,12.0420061743,3.
2,12.0781551186,3.
2,11.3742437096,3.
2,11.8304532738,3.
2,12.3882012134,3.
2,11.6209352174,3.
2,11.903850826,3.
2,11.4333077107,3.
2,12.2015292479,3.
2,12.3299495752,3.
2,12.3043114972,3.
2,12.3967699485,3.
2,12.3884662455,3.
2,11.2588593215,3.
2,11.3765112576,3.
2,11.9385094446,3.
2,11.9096760831,3.
2,11.7006738095,3.
2,12.0429118364,3.
2,12.645660078,3.
2,12.1983731941,3.
2,12.4803670929,3.
2,12.4484838768,3.
2,12.1649305774,3.
2,12.6032474846,3.
2,11.2584819637,3.
2,12.2986509606,3.
2,11.6018244558,3.
2,12.7148033068,3.
2,12.3732683453,3.
2,11.8689090809,3.
2,12.0848542792,3.
2,12.6009351998,3.
2,12.0858093264,3.
2,11.9651664885,3.
2,11.8357787286,3.
2,11.2960041555,3.
2,11.8759925347,3.
2,11.8510703211,3.
2,12.0305234705,3.
2,11.619487185,3.
2,11.8675768756,3.
2,12.5381640064,3.
2,11.843238533,3.
2,12.8566889734,3.
2,12.5215152687,3.
2,11.5269456821,3.
2,12.7252044978,3.
2,11.500617138,3.
2,12.2787194216,3.
2,12.3284579241,3.
2,11.3890878547,3.
2,12.0913086038,3.
2,12.6937232016,3.
2,12.3652763588,3.
2,11.6478362562,3.
2,12.6523162949,3.
2,12.0098974233,3.
2,12.3888248175,3.
2,12.1274653929,3.
2,12.5778942257,3.
2,11.9419452271,3.
2,11.9813810462,3.
2,11.839124985,3.
2,11.6552430865,3.
2,11.992964838,3.
2,11.8740802863,3.
2,12.1109339019,3.
2,12.3294963815,3.
2,11.9663446578,3.
2,11.8071401749,3.
2,12.1700620634,3.
2,12.0807814626,3.
2,12.2626546172,3.
2,12.2378658277,3.
2,11.9266625238,3.
2,11.8432970165,3.
2,12.5350650019,3.
2,11.8119286387,3.
2,12.2300931726,3.
2,12.9544782562,3.
2,12.3275464554,3.
2,12.3861008195,3.
2,11.4364444437,3.
2,11.598452873,3.
2,11.9614931654,3.
2,12.0625043291,3.
2,12.2311375712,3.
2,12.3078346878,3.
2,11.9210491187,3.
2,11.9742543975,3.
2,11.8963019749,3.
2,11.7972121546,3.
2,11.2871968495,3.
2,12.6000412591,3.
2,12.5514377906,3.
2,11.8289177048,3.
2,11.979391643,3.
2,12.1388504438,3.
