a.s,x
0,5.51787506269
0,5.55166366546
0,5.70534700316
0,5.73297196989
0,5.74467234439
0,5.75352155952
0,5.75568637053
0,5.75616911272
0,5.85440233395
0,5.87615535891
0,5.92503892763
0,5.96053030243
0,5.9881436887
0,6.02138273516
0,6.0579965823
0,6.05920025225
0,6.13871320664
0,6.16200222808
0,6.1678154137
0,6.23009099145
0,6.23126291958
0,6.24288697519
1,6.28852650957
0,6.30454367948
0,6.32526072888
0,6.35701524882
0,6.36663021552
0,6.45496935656
0,6.48105118535
0,6.48463461247
0,6.48710725142
0,6.50258931099
0,6.50867448826
0,6.52918614419
0,6.54301479878
0,6.55771015472
0,6.59484100687
1,6.59839137979
1,6.60942548138
1,6.61247713333
1,6.62123746413
0,6.62660328932
1,6.64249336116
0,6.65224409335
0,6.66118167883
0,6.6627487396
0,6.68592252347
0,6.70977135997
1,6.71156318238
0,6.71258668067
0,6.71808515129
1,6.76858135868
1,6.78723769673
1,6.79616075575
1,6.79731509225
0,6.79733967224
1,6.7984795931
1,6.80950077206
1,6.81662110303
1,6.81724393822
1,6.82506591441
1,6.82556331188
1,6.84788343824
0,6.85067303924
0,6.85530786642
0,6.8598730494
0,6.8609068146
1,6.86873332036
1,6.87163554677
1,6.93908316128
0,6.95895901507
0,6.98257350568
1,7.00401726345
1,7.02595618991
0,7.04739389387
0,7.06082033937
1,7.0633685487
1,7.06359919658
0,7.07819960947
1,7.08183979138
0,7.08485446402
1,7.09623106947
0,7.10002676335
1,7.10073838123
1,7.10842085097
1,7.11016821874
1,7.11381171704
1,7.11457263867
0,7.11888668672
1,7.11988655909
1,7.14636482188
1,7.14707155518
0,7.15341067491
1,7.15640206242
1,7.16190881166
1,7.16336989594
1,7.17160591622
0,7.17674848333
1,7.17832822326
1,7.22355542834
0,7.22776956481
1,7.2409788014
1,7.24847883903
0,7.25812764119
1,7.26690120124
1,7.29144852983
1,7.29429944138
1,7.29488802512
1,7.30077299335
0,7.30484834031
1,7.31962992385
1,7.32601447862
1,7.32942836627
0,7.33814301935
1,7.33929319938
0,7.34050801169
1,7.3413295514
1,7.34249892482
1,7.35364821681
1,7.37614700158
1,7.3776597151
1,7.37880087009
1,7.38128486455
1,7.38375239771
0,7.38392403655
1,7.38656055713
1,7.38662069237
1,7.38924117131
1,7.39485422698
0,7.40313843385
1,7.4060722293
1,7.40844391973
1,7.40884326212
1,7.41273701813
1,7.42649198329
1,7.4286304064
1,7.4463636466
1,7.44861227084
1,7.45026092236
1,7.45028272885
