a.s,s.s->a.f,c.f->a.s
2,12.5301491107,3.
2,12.3010991502,3.
2,12.2271623697,3.
2,12.7558688854,3.
2,11.7947349555,3.
2,11.382338174,3.
2,12.5061790688,3.
2,12.5310670727,3.
2,11.7874562093,3.
2,12.9349301766,3.
2,12.6793078781,3.
2,11.7336220521,3.
2,12.8427884006,3.
2,12.8370455804,3.
2,11.2477169998,3.
2,12.2203966047,3.
2,12.1773036385,3.
2,11.9870217424,3.
2,11.134276571,3.
2,11.7969652572,3.
2,12.875155212,3.
2,12.4737133413,3.
2,12.8500775516,3.
2,11.1806856115,3.
2,12.0806855669,3.
2,11.0111745017,3.
2,11.520512173,3.
2,11.3134119546,3.
2,11.4370214323,3.
2,12.7117107778,3.
2,12.9775776908,3.
2,12.0327574186,3.
2,11.6133945334,3.
2,12.1649504386,3.
2,12.6793363061,3.
2,11.8601535128,3.
2,11.2584831603,3.
2,12.4087062959,3.
2,12.5067882059,3.
2,12.5754870612,3.
2,11.4014975667,3.
2,11.1692193828,3.
2,12.8732074947,3.
2,12.9963906967,3.
2,11.817466322,3.
2,11.571784412,3.
2,11.4521253062,3.
2,12.9994836926,3.
2,12.8857098851,3.
2,12.2091219483,3.
2,12.8399587985,3.
2,12.8056515005,3.
2,11.7801585183,3.
2,12.5182212435,3.
2,12.6306302854,3.
2,11.1321497086,3.
2,12.1631495348,3.
2,11.7931747485,3.
2,12.1431966151,3.
2,11.9851909571,3.
2,11.093901695,3.
2,12.5672970355,3.
2,11.3019413862,3.
2,12.4482858676,3.
2,12.0124584649,3.
2,12.1994516681,3.
2,12.9560480112,3.
2,11.0888872476,3.
2,11.5502043342,3.
2,11.848155952,3.
2,11.580989653,3.
2,12.7887409049,3.
2,11.7110857476,3.
2,11.5525440746,3.
2,11.6861824415,3.
2,11.4911769542,3.
2,11.0491775174,3.
2,12.5950043576,3.
2,11.02874037,3.
2,11.181076266,3.
2,11.203794735,3.
2,12.3330044488,3.
2,12.9565376302,3.
2,11.9379480838,3.
2,12.4715182922,3.
2,11.5339007306,3.
2,12.2429836012,3.
2,11.5647114297,3.
2,11.5468503553,3.
2,12.2230719731,3.
2,11.8188646091,3.
2,11.3995576213,3.
2,12.5399262696,3.
2,12.4105381322,3.
2,11.9017664449,3.
2,12.8746007908,3.
2,11.7263841482,3.
2,11.5414412476,3.
2,11.1948697283,3.
2,12.2558171391,3.
2,11.4024014968,3.
2,12.1211748802,3.
2,12.1227389523,3.
2,12.9270250115,3.
2,11.0370083219,3.
2,12.8766716768,3.
2,12.0465552833,3.
2,12.4250985291,3.
2,11.032888324,3.
2,12.213810877,3.
2,12.2956076165,3.
2,11.1916427707,3.
2,12.0245120719,3.
2,11.9735080042,3.
2,11.7711532033,3.
2,12.5284696093,3.
2,11.3287913558,3.
2,11.3767009582,3.
2,11.0088220944,3.
2,12.5761106717,3.
2,12.7745360478,3.
2,11.9416352085,3.
2,12.3553617427,3.
2,11.0616646911,3.
2,12.3410833671,3.
2,11.3261275529,3.
2,11.6058318753,3.
