a.s,x
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
2,12.
