a.s,x
0,13.7166789986
0,14.2069738973
0,14.2117360095
0,14.3985367503
0,14.7884529815
0,14.828067879
0,14.8343793967
0,14.9065003576
0,14.9226740915
0,14.9313264797
0,15.017991395
0,15.0347838355
0,15.0719424173
0,15.0943165988
0,15.1155374577
0,15.1207260233
0,15.1612275918
0,15.1736175202
0,15.2723717264
0,15.2885892475
0,15.4334692792
0,15.4399638928
0,15.4560921106
0,15.5298273225
0,15.5986500492
0,15.6240305574
0,15.6571955745
1,15.6627615038
0,15.6699133801
0,15.6837278898
0,15.7049522699
0,15.7209386788
0,15.7370725543
0,15.7408611274
0,15.7500094868
0,15.7564658087
0,15.7596278429
0,15.7708975889
0,15.7846076853
0,15.7953292597
0,15.8039501997
0,15.8163376316
0,15.8331515847
0,15.8494187499
1,15.9507974002
0,15.9738508013
0,15.9820919986
0,15.982340169
0,15.9833228349
0,15.9851712546
1,15.9853217792
0,16.0045340448
0,16.0219036416
0,16.0222163524
0,16.0301874596
0,16.0495246603
1,16.0602372229
0,16.0648412956
0,16.0663564687
0,16.0772307781
0,16.1139052491
1,16.1232094389
0,16.1232848069
0,16.1303252935
1,16.1718538554
1,16.1762346086
0,16.1893156895
1,16.2164980794
0,16.2281940389
0,16.2346464733
1,16.236523152
1,16.2470833558
0,16.2473125492
0,16.262923937
1,16.2629840492
1,16.2650460619
1,16.2676251607
1,16.2929259975
1,16.2967129388
1,16.3066383724
1,16.3188539858
1,16.3202217077
0,16.3315310079
0,16.3325644003
0,16.337021097
0,16.3602427244
0,16.3626627975
0,16.3705714359
1,16.3726774288
1,16.3868550728
0,16.410056164
1,16.4163476134
0,16.4496865126
1,16.4502466756
1,16.4545284269
0,16.4642744201
0,16.4681454757
0,16.4711940831
1,16.48494838
0,16.509730905
1,16.5363088711
1,16.5378691212
0,16.5408469939
1,16.5499634813
1,16.5527103883
1,16.5806102035
0,16.586498324
0,16.5873660484
1,16.58928503
1,16.5923023002
0,16.597363551
1,16.5992242096
1,16.6159572894
0,16.6216453761
1,16.6244882037
0,16.6247161466
1,16.6337699596
1,16.658314786
1,16.6664799979
1,16.6689052779
0,16.6773958175
0,16.6789055628
1,16.6795424364
1,16.6942146478
0,16.6945743538
1,16.7030759476
1,16.7041086978
0,16.744419027
1,16.7475177092
0,16.7631343205
1,16.7807620181
1,16.7820003533
1,16.7867483779
1,16.7937569614
1,16.7961891076
1,16.7975962369
0,16.8069902834
1,16.8077615932
0,16.8085373813
0,16.8139482331
1,16.8139679141
0,16.8151872884
1,16.822199924
1,16.8262363712
1,16.8508513695
0,16.8534058906
1,16.8536956759
1,16.8585663686
1,16.8734908443
1,16.8747983657
1,16.8895634733
1,16.916580594
1,16.9233234812
1,16.9246826141
1,16.9379224775
0,16.9546270559
