a.s,s.s->a.f,c.f->a.s
0,12.120692746,6.20436515749
1,16.9981520063,10.5461098466
1,22.4371276682,14.7061016489
0,16.7246048921,6.70094660349
0,15.7514817348,4.65508579879
1,18.5301336307,10.6715059828
0,13.4795207479,6.0745745884
0,12.1076170905,4.17171582887
0,13.4462819751,1.96858052128
1,20.4930153607,11.5538466661
0,7.55359750519,1.46897612281
0,19.3991836979,7.59556991461
1,16.1285822261,4.8490097057
1,18.9814740352,14.3162239724
0,15.3802253581,4.94637614942
0,13.9444537088,0.46100350541
0,16.9458130101,6.42129645173
1,25.6380328464,12.5387045336
1,23.1824616105,11.8124710548
0,11.7643381418,2.90285315735
1,25.4722544891,14.3121614677
0,14.0899358663,0.521870249085
1,15.8609426351,3.44235773052
0,19.5476285904,6.65996402014
1,22.5716012364,11.7195444053
0,15.0289775989,5.23092473146
0,13.3289721069,2.87840648571
0,13.044085657,6.48194732829
1,22.0718787622,13.8626177411
0,16.618912227,1.59971996444
0,10.2056060687,0.797460758792
1,19.6324210898,9.80690987369
0,12.2588334304,2.40826425087
1,18.7599083865,9.72035618323
1,17.6952031448,6.20853932316
0,15.3639143874,0.818311222438
0,16.0430218995,4.99369788429
1,22.5688484284,12.4863943506
1,18.1165385416,12.8624789857
0,13.5292377765,4.70738389698
1,23.0526748837,14.0965647604
1,22.6815529334,13.9320411881
1,24.8637970066,13.5877409501
1,25.1168028309,14.4823537301
0,12.8351250901,1.66864448928
1,22.3949002052,10.8887923221
0,13.3380282289,7.67147089531
1,25.6312801631,15.7112585134
0,15.1679669239,6.58201540016
1,24.2556153198,12.3229858592
1,19.7280373994,8.45819459008
0,13.9268227413,3.01758516489
1,23.2022385446,6.76928323128
1,19.5723527495,4.4655743251
1,18.0307262463,6.70160292918
1,20.6323949271,9.85338063328
1,26.1096369531,13.8122421045
1,24.308879475,13.6426568064
0,8.66328624258,1.94278644181
0,12.6240520815,3.7673334097
1,18.0294612283,9.57030723369
0,10.0390931958,1.40801616101
1,20.5765665778,10.68259702
1,24.7050189715,12.489454556
1,19.2945475838,8.88422505274
1,19.8887951471,10.4697045603
0,14.2275798448,3.60359475824
1,17.81216171,3.21358184554
0,15.9316919134,2.41414271063
0,17.7872266666,1.98644897935
0,14.435254482,2.86941488338
0,13.5726630918,4.26546808698
1,20.6718291255,10.795656109
0,14.9506678093,2.74210819604
1,25.0206492385,14.6325785579
0,8.71541135396,0.959205006123
0,16.1851139458,7.83041767198
0,9.69340918701,3.68582756826
1,20.8330092775,10.5578725143
1,19.6538029821,7.06759239161
0,8.37136914883,0.176806945874
0,8.82479995948,1.00002038621
1,18.1827432632,7.70111510323
0,12.7001393002,1.90887532444
0,11.2147785501,1.74596873664
0,15.8514495236,8.46198046796
1,17.5509002062,9.68606913559
0,14.7628649126,6.86864165002
1,19.0344727314,10.1796254792
1,16.4404909864,6.40127094421
0,17.5213667088,5.76460169656
0,15.617213486,3.2695332939
1,22.3508527864,6.88777520367
0,11.6565170702,1.67167977872
1,24.5961656828,11.0606702319
1,15.8029608469,4.0593437885
0,9.88591781303,4.45186410976
0,9.83910235394,2.21929303841
1,20.4676617683,9.69343118135
0,9.91670113516,3.39488962656
0,18.8657182181,6.60802738465
0,11.3074054852,2.3882658148
0,16.6743177271,7.17137972342
1,22.5110375928,8.61376943471
1,17.6953683247,5.25765040595
0,9.39785126599,0.794670515333
0,11.3215057375,3.10257583083
0,15.9098349024,8.7177089723
0,15.0284580318,5.72597492095
0,15.3618616704,6.26527608362
0,13.7923047238,0.508590869247
0,13.2578489065,2.53484147831
0,13.3448497424,3.59063122535
1,17.7165564512,12.8270269019
0,12.7103283848,2.32242836285
1,15.2763634978,6.90521849644
0,15.7818433099,9.18730374024
0,8.85931414169,0.302153004008
0,9.05746256201,2.68270785909
1,20.9116117789,12.9299859888
1,22.2188556872,9.42223609995
0,12.9928690363,4.82849841165
0,15.8169965595,2.24364250741
0,9.71396236854,2.37429593252
0,15.3243450932,8.05243486722
0,17.3059385254,6.43234746147
1,22.5009775881,14.1235131417
0,10.732367925,3.22097367795
0,6.91654674269,0.0225394706856
0,12.3773813347,3.16494101976
0,13.9977646732,2.64757897364
1,18.6895652293,7.53776275613
0,16.1960171871,4.40230718096
1,19.0585257707,10.7752323894
0,10.9618868628,4.56361907789
0,8.5188946717,0.615006027169
1,20.479422872,11.9340142159
0,12.7065666176,4.99475808835
0,16.6012002251,11.1298762369
0,15.6203228546,9.250002509
0,10.6384009324,3.94094722594
0,16.5346461955,6.42003285983
1,20.2654870298,11.0365969413
1,19.4583532173,7.95762536203
1,21.5012956556,10.9567454201
0,12.2510597052,2.43586161089
1,22.1649789354,14.4735321288
1,25.2440436612,13.7780803101
0,13.8798936506,3.25335220378
1,21.1399683633,9.67469812446
0,9.95057360251,2.08784633015
0,16.3013750865,6.30266052628
0,11.8326048529,4.17658487967
1,21.3470821212,9.6746241198
0,10.7719334062,2.70779973887
0,15.3434646303,6.54596369342
0,11.3598793603,0.700084458391
0,15.083082396,7.31666610196
1,19.3027456948,11.7212659509
0,13.9342001966,4.82988804005
1,19.5273320332,11.896319045
0,10.7732672576,3.84375299484
1,20.2807510773,7.83162703809
1,21.2035789388,11.4085382826
0,13.5479207074,2.01994266032
0,12.5995447642,0.95020932554
0,15.6037859949,6.03545793384
1,19.9893629748,11.6357019727
1,22.6240953197,11.2071636643
0,9.60116014456,2.4608115567
0,9.60229765964,1.80142704701
1,18.912147104,8.04542111085
1,20.3225715408,10.2871317605
1,23.6558539234,13.6550019308
0,16.3205047607,4.85133912787
1,22.3944830858,12.095091321
1,21.2153869878,12.9672243291
0,9.8959547003,3.62087971258
0,16.753120936,8.901609834
0,17.1711750584,7.1546306166
1,25.9641326206,14.2090143503
0,10.4635899376,0.150491966054
0,18.4590402676,7.58407365885
1,23.0767084637,11.0704457023
1,24.8298832954,14.2213500974
0,14.4413631664,2.48393212251
0,16.0428522558,4.06695230187
1,20.3771624757,10.1549728261
1,25.0460688976,13.0108321144
1,17.8140693608,9.72845364081
0,12.2563263047,2.04725876378
0,14.5581624165,7.75746215846
1,20.3058463904,12.374030782
1,23.349457006,9.19444346435
1,17.7712223601,8.35778571922
0,9.93961829871,3.57974135336
1,21.411386955,11.6670444364
1,20.0092913208,10.6756358139
0,10.7072479897,1.91925078486
1,20.0972689131,8.5757744072
1,20.3219275301,11.689212041
1,21.7460313846,9.36595902166
0,12.5561851088,2.1063065857
0,8.68126561714,1.26124347933
0,13.3679660687,5.69343790762
1,17.7673678369,9.98203157786
0,14.4143388369,0.862468421567
1,24.7511742814,10.7784587184
1,22.5627358994,7.63711698715
0,17.806498887,4.5754632748
1,24.1135591024,10.7821947699
1,18.2344620262,7.39419338931
0,15.5286401719,3.636377398
1,23.2975083329,11.6293406364
1,20.2975262941,8.15562488446
1,19.3444113556,5.03618273018
1,21.7112329211,14.2738421796
1,16.7685395547,6.23594676185
0,6.47376323683,1.18662811996
1,18.8581252211,5.2586112426
1,18.1519711766,9.2681025687
1,18.1807227962,11.4238423713
0,9.44768620576,3.72240161746
0,8.53462532823,2.57211605665
1,19.0049139428,8.63580214191
1,17.2516685794,6.31714378956
0,16.9221273435,6.79504092042
0,10.2443357481,2.30984830351
0,13.4516786984,1.51243760607
1,21.0393815699,9.25507265506
1,23.1989981112,13.6208039616
0,13.8200979492,3.43147597119
0,11.4617917779,2.88255934153
1,20.1481947273,11.9656235894
0,13.2408081976,2.64071597788
1,23.7540961298,12.2160573836
1,20.0911730611,8.78413982496
1,20.4885837969,10.6029766073
1,18.6045308388,12.9377412642
1,21.6389709827,11.2817568092
0,17.4291054912,8.87926780349
1,18.0120048437,10.1495075784
0,12.1172135433,4.49986647169
1,20.2292978014,6.88026400231
1,16.5232993188,9.53472346001
1,21.2467527328,11.3389202295
0,10.8194090311,3.94285858723
1,21.6156267212,9.93628924194
0,9.31654034159,0.838172839641
1,19.426095365,7.6712026684
1,17.7209913654,10.293659757
1,17.5423127841,9.5579941081
0,17.9325168059,7.01393467399
0,12.6868157303,2.1991355899
1,21.2533007594,11.7666159793
0,10.9559855937,2.98256526474
1,21.2358262162,13.0484332858
0,16.2027833878,4.8854164938
1,21.0102336534,12.0558091884
0,15.868290949,5.62228885069
1,20.5967365258,9.23683178571
0,10.7545259096,4.34758902589
0,15.8974251622,5.64734658003
0,10.9317983023,0.429505060789
0,15.7368018869,6.23813217297
1,19.1331055542,11.4945337355
1,23.026363486,14.519644036
1,22.747800129,13.9163261938
1,22.4940294933,12.9942257652
0,8.98617769012,0.999560895974
1,16.6239227902,7.77717625082
1,18.2215689986,8.05337008324
1,19.7889450151,7.20534775802
0,13.3829504987,3.769181652
1,23.9135445135,10.4272435529
1,19.5142272189,4.60294153255
1,20.5158022547,5.29162967553
1,24.4203857136,12.9427355534
0,19.7278429685,4.96690674875
0,11.3460927295,4.62217153324
0,16.1966662639,5.43112273929
0,17.0210091421,10.1579287835
0,15.8164815649,6.54629929143
0,9.79056190519,2.0094443965
1,17.5609586521,11.1532545247
1,17.6681078534,12.4564393582
1,19.2773244031,11.6923951768
0,11.8471800058,6.30422140751
0,11.1893141046,1.90947827524
0,16.4575534077,5.56080136453
1,19.6034451228,11.656078446
1,21.4624954007,11.0750424553
1,23.3910975389,13.6404242579
0,18.9388181351,5.96666526917
0,13.6249529348,6.22561173628
0,12.7126449191,2.04777562497
0,14.5363121976,2.49531732621
1,16.9020318702,8.70930802541
0,17.8694200214,4.7262023544
0,15.732178098,4.7372172759
1,21.6046231425,11.3448507702
1,18.585213371,11.7511620807
0,12.2839932136,3.55027786899
1,17.089045685,10.8568260368
1,24.7034790721,12.8783813832
