a.s,x
0,4.35530893606
0,5.00741520593
0,5.03686294528
0,5.07404627166
0,5.14413305958
0,5.19114652522
0,5.21887402527
0,5.22248807031
0,5.26288924223
0,5.32428395715
0,5.36916723682
0,5.47349132104
0,5.50266704245
0,5.50361226229
0,5.53972989907
1,5.54167787651
0,5.54836761102
0,5.56699296825
0,5.56830064654
0,5.61410941582
0,5.62591137436
0,5.6403977047
0,5.65195814919
0,5.66914581385
1,5.69329817089
0,5.71278951665
0,5.73471375077
0,5.74573949381
1,5.78322577151
0,5.81917826472
1,5.8342389145
1,5.83747558326
0,5.84297025168
0,5.86159133658
1,5.89990613301
0,5.9083093748
0,5.90932564576
1,5.96372978925
1,5.96450207133
0,5.96639557686
0,5.97035352631
0,5.97263168346
0,5.98924141949
0,6.01564096579
0,6.02358988877
0,6.02679514244
0,6.03626185488
0,6.04490748938
0,6.05021349128
0,6.05076939033
1,6.05655544625
0,6.07699233768
0,6.09144534769
1,6.1072636545
0,6.12053621798
1,6.12648302497
0,6.14032945038
0,6.1483443332
1,6.14879956986
1,6.16363466315
0,6.16374922526
0,6.16614208242
1,6.17317416226
0,6.17840322852
0,6.18086072216
0,6.18848774835
1,6.19123613942
0,6.20784104117
0,6.24375339052
1,6.25106983559
0,6.2511713031
1,6.26054223959
1,6.29729273012
1,6.29984857873
1,6.29996862992
0,6.30951874546
1,6.31486487325
1,6.33609558252
0,6.34681793661
1,6.35450760878
1,6.35575645686
1,6.35596791272
0,6.36710459258
0,6.37334079346
1,6.39791288367
1,6.40523230157
1,6.40997989857
0,6.41283427984
1,6.42062232357
0,6.43693937894
1,6.43972954977
1,6.44722970622
0,6.46633153917
0,6.4696140282
0,6.47550368965
0,6.50373104159
1,6.50639207636
1,6.50786550481
0,6.50800504985
1,6.50881618175
1,6.52035228105
1,6.52539542081
1,6.52940192939
0,6.54601498997
0,6.55798981265
0,6.55878955753
0,6.56129862666
0,6.56479469466
1,6.5768749344
0,6.59789951909
0,6.60634185683
0,6.60863441868
1,6.61579375448
1,6.62630280913
1,6.63006827679
1,6.63668202389
1,6.63808025128
0,6.65239542399
0,6.6524080219
1,6.66133615101
1,6.661396627
0,6.66206905352
1,6.66399270829
1,6.67447981921
0,6.69605590974
0,6.70569157567
0,6.70673203629
1,6.70756851498
1,6.71178220708
0,6.71280508359
0,6.71638146375
0,6.71731324393
1,6.71756024582
1,6.72457350911
0,6.731683358
0,6.74047713939
0,6.74064162347
1,6.74677436611
0,6.75052258268
0,6.75185146662
1,6.75910428804
1,6.75912364022
1,6.76322896572
0,6.77163244667
0,6.78105197255
1,6.78239286972
0,6.80120003744
0,6.81518018507
0,6.81605315789
0,6.82243782656
0,6.82321254785
1,6.8257342081
0,6.82653902673
0,6.83466696583
0,6.83824245528
0,6.83868031849
1,6.8390559892
1,6.84023125931
1,6.84196931452
0,6.84370832656
0,6.84490858264
1,6.86115477605
1,6.86384430314
1,6.87884637407
1,6.8824703866
1,6.8857568686
1,6.89442367994
1,6.89541776008
1,6.89693775731
0,6.89852147063
0,6.8990900057
0,6.90463396526
0,6.91506668147
1,6.92153362046
1,6.92366320227
1,6.92437170127
0,6.93105422031
1,6.93154187913
0,6.93241556714
1,6.93724761344
1,6.94043581107
1,6.94470596689
1,6.94473011799
1,6.95260178053
1,6.9644566831
1,6.97600241304
0,6.97694051211
1,6.98012773455
1,6.98673820375
1,6.98977853761
1,6.99242039911
0,6.99354115016
1,6.99933155151
1,7.00019341013
0,7.00085746877
0,7.00950803317
1,7.01338999627
1,7.02014808178
0,7.02172353198
1,7.02288750684
0,7.02737164542
0,7.0306216071
1,7.04065766283
1,7.04328278551
1,7.0480233549
0,7.04921758445
0,7.0532272167
0,7.05603795998
0,7.06434270454
0,7.0656968293
1,7.06949107736
1,7.08321704062
1,7.09014592778
1,7.09314507156
0,7.09782228169
0,7.10391232745
1,7.10647621682
1,7.10827119011
1,7.10992721713
1,7.11267638961
1,7.12610692893
0,7.13391749952
0,7.13698518937
1,7.14481434469
1,7.14488858987
1,7.14562490803
1,7.1487601455
1,7.15150647879
1,7.15312154443
1,7.15815956542
1,7.1620956674
1,7.16332559005
1,7.16380886239
1,7.1652207468
0,7.17102818146
1,7.17704666062
1,7.18291915297
1,7.18973552825
1,7.19687873419
1,7.20303274227
1,7.20648877005
1,7.21017211788
1,7.21038088144
1,7.2151399421
1,7.21669651508
0,7.22082877162
1,7.23179953998
0,7.24047124069
0,7.24343134497
0,7.24696692736
1,7.24929708186
1,7.25468126074
1,7.25504443199
0,7.25538298461
1,7.25961299593
1,7.26673032124
1,7.26920077407
1,7.2695512143
1,7.27377222449
1,7.27399593536
1,7.27739695939
1,7.27934620224
0,7.28333473526
0,7.28341602639
0,7.28696302301
1,7.30081687094
1,7.30567929822
1,7.30831429822
0,7.31056575762
1,7.31333000584
1,7.31467339299
1,7.32248948182
1,7.33021519301
1,7.33698147177
0,7.33751699143
0,7.33918534776
1,7.34125262011
1,7.34615760983
1,7.35097976538
0,7.35964532814
1,7.36025877672
1,7.36184001662
1,7.36429404763
1,7.36976616502
1,7.37002277175
0,7.37022884804
0,7.37189407292
1,7.37447555398
1,7.37705096544
1,7.37900465347
1,7.38410411666
1,7.38691975589
1,7.38710629251
1,7.38787409685
1,7.38822925156
1,7.38828697184
1,7.3906420565
1,7.3911618404
1,7.39378328573
0,7.4022210464
1,7.41167093043
0,7.41284360197
1,7.41627661115
1,7.41782400486
1,7.42132447864
1,7.4224954513
1,7.42596073963
1,7.43008443899
1,7.43461582733
0,7.44893840305
1,7.45186003832
1,7.4584791114
1,7.46496381421
1,7.46770696202
1,7.46989036749
1,7.47588807528
1,7.48118324036
1,7.4826180055
1,7.48692476449
1,7.49903550427
1,7.50156062774
