a.s,x
0,5.15036571535
1,5.5150779495
0,5.55213524936
0,5.70968550284
0,5.82243391385
1,5.85450889832
0,5.869043392
0,5.90700174964
0,5.97428855332
0,6.00808367091
0,6.01137958878
0,6.02911151435
0,6.13705903807
0,6.15923296171
0,6.17722512344
0,6.18564614907
1,6.20660763213
0,6.22359374026
0,6.24206869004
0,6.32573461713
0,6.32839922899
0,6.35261654654
0,6.39878172537
1,6.43415229865
0,6.43536226368
0,6.50004645112
1,6.52527561431
0,6.53938371396
0,6.53995722518
0,6.55573310898
1,6.59204720877
0,6.62484125541
1,6.63471808402
1,6.63532207269
1,6.66265007712
0,6.66816808545
1,6.69947092134
1,6.70485677787
0,6.70921885826
0,6.709863273
1,6.71360531899
0,6.71890112114
1,6.72735412334
0,6.74128856001
0,6.74262413547
0,6.7622674578
0,6.76687840887
0,6.7705579588
1,6.7897121401
1,6.79186979028
1,6.79744629993
0,6.79876816574
1,6.80546530714
1,6.83259516051
1,6.84479918734
0,6.84922164777
1,6.84922186332
0,6.85546028183
1,6.85573618396
1,6.85923933217
1,6.86276679319
0,6.8639198342
0,6.86893140046
1,6.86965470517
1,6.88535582819
1,6.89498441899
1,6.90398285908
0,6.91235034604
1,6.9172450854
1,6.93287432173
1,6.93717087683
0,6.94139188
1,6.9562098378
1,6.97538499285
1,6.98023271408
1,6.98180380954
1,6.99394157568
1,7.00060551378
0,7.00157107455
0,7.00383721238
0,7.00525362293
1,7.00770723614
1,7.01229280836
1,7.03170895124
1,7.05295092346
1,7.06702428286
1,7.07242828472
0,7.07524956364
1,7.08110473551
1,7.08132615784
1,7.08708119187
1,7.0905700128
1,7.0983128646
1,7.10041158796
1,7.10655537854
0,7.11599401222
1,7.12363448225
1,7.1302844433
1,7.13187554572
1,7.13274763715
1,7.14991942501
1,7.16155470114
1,7.16382400303
1,7.17462308308
1,7.17978119673
1,7.18258327453
1,7.19285946204
1,7.2076544304
1,7.21038404635
1,7.2254108776
1,7.23431741326
1,7.24136170553
1,7.24703581459
1,7.24811836159
1,7.2504198484
1,7.25589994574
0,7.26119070217
1,7.26952491082
1,7.27277676494
1,7.27330911755
0,7.27404238435
1,7.27570341536
0,7.28166314315
1,7.28385233786
1,7.29059277439
0,7.29405461658
1,7.29894237815
1,7.30628525873
1,7.31553039586
1,7.31735888324
1,7.32057943863
1,7.32221251057
1,7.32291489458
0,7.32812564451
1,7.33655078197
0,7.3416956143
0,7.34880490984
1,7.35722661623
1,7.3601667061
1,7.36187980892
0,7.36414579002
1,7.36674116987
1,7.36864859956
1,7.37952752117
1,7.38652206918
1,7.39052357358
1,7.39695838606
1,7.39802451806
1,7.40087656757
1,7.40469119514
1,7.40516820024
0,7.4136054886
0,7.44151197355
1,7.44545735497
1,7.44831765759
1,7.45070876644
0,7.4539317552
1,7.45573390023
1,7.4593401263
1,7.46897202215
1,7.47483166579
1,7.48465752012
1,7.48504135497
1,7.48977725424
1,7.49462249594
1,7.50253763851
1,7.51081605375
0,7.51160843935
1,7.51497187329
1,7.52722072313
1,7.53794108961
1,7.5467132808
0,7.54680409121
1,7.55068749553
1,7.55312249869
1,7.55506920048
1,7.56102006098
1,7.56289065112
1,7.56754660525
1,7.56987741118
1,7.57027533761
0,7.57453538784
1,7.59232544473
1,7.59523397456
1,7.59710631291
1,7.59780626141
1,7.59914140402
1,7.59948054299
1,7.60056554395
1,7.60793326149
1,7.61094314774
1,7.61500981214
1,7.61615457742
1,7.61998963573
1,7.62277600387
1,7.62809750067
1,7.63018219049
1,7.64911158234
1,7.64928524021
1,7.65743199516
1,7.66133356877
1,7.66168713308
0,7.67802202405
1,7.68433655027
1,7.686514423
1,7.68839696689
1,7.69058380567
1,7.69369837283
1,7.69856303587
1,7.70110569598
1,7.70277898006
1,7.71279563328
1,7.71493481213
1,7.71649957905
1,7.71784753468
0,7.72066820943
1,7.72546080768
1,7.72973844985
1,7.74037958511
1,7.74142054871
1,7.74144709972
1,7.7497459275
1,7.7503909173
1,7.75224672265
1,7.75402630459
1,7.75892310403
1,7.75915718651
1,7.76583454553
1,7.76718657326
1,7.76982576289
1,7.76991360831
1,7.77176747123
1,7.77622599379
1,7.7773328101
1,7.78150730137
1,7.78397732711
1,7.78453679026
1,7.7897567373
1,7.79450304538
1,7.79502754571
1,7.80089469158
1,7.80204805703
0,7.80382610984
1,7.80470359605
1,7.80603681401
1,7.80635196602
1,7.81115297336
1,7.81186576164
0,7.81638879604
1,7.82067155743
1,7.82473662812
1,7.82887046643
1,7.83210664713
1,7.83619172204
1,7.84398386686
1,7.84623482374
1,7.84654493631
1,7.84827306679
1,7.84944456563
1,7.84946394745
1,7.85209168564
1,7.85278370762
1,7.85295363629
1,7.85770863561
1,7.86080885236
1,7.86564468345
1,7.87797778338
1,7.88043764506
1,7.88111716925
1,7.8813856582
1,7.88329893262
1,7.88722339213
1,7.89330948143
1,7.89340893728
1,7.89423000168
1,7.89525163306
1,7.89567296675
1,7.89633187805
1,7.89826256563
1,7.89987721732
1,7.90554368287
1,7.90666309054
1,7.9098489099
0,7.91286770154
1,7.91478288659
1,7.91559088833
1,7.9163680021
1,7.91942437727
1,7.92044214869
1,7.92473146541
0,7.92730194893
1,7.92796777949
1,7.92809133357
1,7.92994424881
1,7.93524489931
0,7.93985983929
1,7.9402415121
1,7.94207372147
1,7.94382819817
1,7.94598378255
1,7.95032557838
1,7.95114934682
1,7.95700503304
1,7.95893632852
1,7.96236483232
1,7.97794198619
1,7.98413712844
1,7.99371012718
0,8.00138700768
1,8.00469877491
1,8.00675980172
1,8.01424442734
1,8.02303607194
1,8.0283848301
1,8.04630152489
1,8.0488254239
1,8.04994707735
1,8.05176604745
1,8.05578485665
1,8.05592786828
1,8.05780003575
1,8.05861480982
1,8.05983913977
1,8.06219974699
1,8.0656433746
1,8.06714916044
1,8.07340038134
1,8.07446651204
1,8.0746301153
1,8.07602082963
1,8.07645936521
1,8.08229388331
1,8.08588062431
1,8.08873464506
1,8.09208405638
1,8.09641617049
1,8.09722766047
1,8.09917211471
0,8.11478772662
1,8.11990445376
1,8.12213564389
1,8.12253051783
1,8.123682038
1,8.12536153995
1,8.12768851647
1,8.12843101757
1,8.12857899789
1,8.12964431857
1,8.1311799455
1,8.13163709392
1,8.13522468026
1,8.13968674
1,8.14178001087
1,8.15016164709
1,8.15070379163
1,8.15322348769
1,8.15425462193
1,8.15846872212
1,8.161685288
1,8.16271007864
1,8.17802910254
1,8.18011375029
1,8.18023033869
1,8.18582908175
1,8.18755954466
1,8.19316385334
1,8.19385922805
1,8.19460161183
1,8.1967915751
0,8.19804664941
1,8.19981204989
1,8.20233060959
1,8.20258817404
1,8.20415197704
1,8.21090757973
1,8.2159212998
1,8.22120572551
1,8.22602419936
1,8.22801691778
1,8.2316526524
1,8.23700575583
0,8.23718529425
1,8.23981099504
